trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,year
6,0.0,1.0,0.0,-2.4512587565856,-2.5219024565849866,,,-2.4512587565856,-2.5219024565849866,,0.0,0.0,175.75615650382008,-175.75615650382008,-2.4512587565856,-14.707552539513602,,6,-5.53077118861404,-5.53077118861404,-5.53077118861404,0.3806730491494586,0.3806730491494586,0.04860495852571418,-3.2081320504127273,0.0,-1.894743496669347,0.0,0.0,0.0,1.0,0.5,0.0,0.0,4,D,2017
20,0.05,0.95,0.0,-1.6277542867687154,-1.804343924028867,0.6032641555703305,0.6032641555703305,-1.7451763100497175,-1.858168697371381,0.34567519172498073,0.011842025504485905,6.249816651708571,527.7658496294458,-521.5160329777373,-1.6277542867687154,-32.555085735374306,,16,-4.100346869466579,-4.100346869466579,-5.979510671814222,0.9048611633594313,0.8338447766737137,0.5325054964194009,-1.7858529033978852,0.4590742235464893,-1.6330693100277662,0.3,0.2,0.05,0.7,0.25,0.0,0.0,17,D,2018
12,0.3333333333333333,0.6666666666666666,0.0,-0.9502814700200092,-1.6372496755074732,0.9612257121000618,1.0173795639239074,-1.9060350610800445,-2.1780664984346334,0.5043064168795449,0.34675809614908043,66.58266133445909,192.01472748262364,-125.43206614816452,-0.9502814700200092,-11.40337764024011,,5,-2.386532062716327,-4.356132996869267,-4.356132996869267,1.5083321076041696,1.0714265405776788,1.4691235523504158,-1.5654805791439694,0.9248068114966559,-1.5884607789855216,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.16666666666666666,9,D,2019
19,0.05263157894736842,0.8947368421052632,0.05263157894736842,-1.9091027769823912,-1.8882971987069173,0.42645879390685,0.42645879390685,-2.156851113292238,-1.983648371160945,0.1977228707529558,0.008142730509717318,3.914891728064857,480.78365400806643,-476.8687622800016,-1.9091027769823912,-36.69941155657229,,18,-7.466716339702,-7.466716339702,-7.676311624168987,1.072137574380217,1.0239052478961002,0.6982367662223329,-1.5623705670073262,0.1999575619772391,-1.54546269272185,0.42105263157894735,0.2631578947368421,0.15789473684210525,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.15789473684210525,16,D,2020
38,0.10526315789473684,0.8421052631578947,0.05263157894736842,-1.527014692826497,-1.946272675838626,0.7471846464757839,0.8088707274962823,-1.9093678624492767,-1.984471343289873,0.3913256639384927,0.0596803375909929,57.71893839201674,967.1349178280758,-909.4159794360589,-1.527014692826497,-58.02655832740688,,15,-5.243291402702107,-6.1762778871409,-8.99615465195334,1.1178574090191058,0.9524408887866631,0.6622853257633414,-1.9316561289629475,0.23459178594357455,-1.7600575172180442,0.39473684210526316,0.2894736842105263,0.07894736842105263,0.6052631578947368,0.15789473684210525,0.0,0.02631578947368421,31,D,2021
28,0.14285714285714285,0.8571428571428571,0.0,-1.8484990054476769,-2.4085438574560216,0.5975466437212535,0.5078499482644823,-2.2561732803091656,-2.4482128689702374,0.26484962344708346,0.0663347999328408,41.9073675859634,631.7553927710883,-589.8480251851248,-1.8484990054476769,-52.100002902437424,-15232.549388408273,18,-5.629678035855405,-8.294351023210103,-9.997204217914803,1.2457562533485258,1.0702927507509907,0.8480368110772838,-1.9276507404511978,0.16654523119804715,-1.8500327182560234,0.35714285714285715,0.32142857142857145,0.17857142857142858,0.6428571428571429,0.32142857142857145,0.0,0.03571428571428571,21,D,2022
20,0.25,0.7,0.05,-1.3174701068692525,-1.697469816621191,0.8435887360956327,0.9839532337742076,-2.1847832053103478,-1.9722496756133392,0.3861201120757431,0.2510940753718696,91.37441144287955,363.905087396245,-272.5306759533655,-1.3174701068692525,-27.56748694706551,,7,-7.485366789468201,-5.469461152444705,-5.469461152444705,1.9559760689605747,1.7232847036356744,1.0674898421679868,-1.7197889604380598,0.7550329344189917,-1.3677661512588615,0.55,0.4,0.2,0.45,0.25,0.05,0.15,19,D,2023
17,0.11764705882352941,0.8823529411764706,0.0,-1.5797975915046465,-1.9348510761588693,1.0144880505964247,1.0144880505964247,-1.9257023437847893,-2.116978302104446,0.5268145691730024,0.0844820036773501,37.05649942281357,438.63187199415984,-401.5753725713463,-1.5797975915046465,-26.85655905557899,,10,-2.7782532930576265,-4.402959672763132,-8.506715553931704,1.1606565593952958,0.8956941759693092,0.6047308040856081,-1.7839666567226584,0.0141083378538499,-1.680025158248171,0.4117647058823529,0.23529411764705882,0.11764705882352941,0.5882352941176471,0.29411764705882354,0.0,0.0,17,D,2024
14,0.2857142857142857,0.7142857142857143,0.0,-1.1593968026210806,-1.9190264492169749,0.898924499563345,0.9666106007743522,-1.9827253234948508,-2.155409249614705,0.4533782309184692,0.26340800417324367,70.29739886416921,266.87647205259015,-196.57907318842098,-1.1593968026210806,-17.10560134620556,-1957.0593770832882,5,-2.8393909560319184,-2.8393909560319184,-5.507914125528222,1.502304960605637,1.135427905698519,0.8955619493782627,-1.786688947901382,0.5187974466602554,-1.8788544829496217,0.5,0.35714285714285715,0.2857142857142857,0.5,0.14285714285714285,0.0,0.07142857142857142,13,D,2025
21,0.14285714285714285,0.8571428571428571,0.0,-1.6298539619604004,-1.964207201342438,0.6446547367142929,0.45553226281962,-2.008938745072849,-2.089228662446091,0.32089317720382565,0.06916565329440101,31.327659796557434,452.93665720487627,-421.6089974083188,-1.6298539619604004,-34.22693320116841,,7,-5.928772855820894,-5.928772855820894,-9.446689978540048,1.2500723739729587,1.0752649039013675,0.849615667159603,-1.9203718728751853,0.3331951688960463,-1.784756579907517,0.47619047619047616,0.38095238095238093,0.19047619047619047,0.5238095238095238,0.47619047619047616,0.0,0.09523809523809523,18,D,2026
