variant,parameter,value,shipped,trades,expectancy_r,win_rate,profit_factor,max_dd_r,ci_lo,ci_hi
A,max_retracement_pct,60.0,False,4292,-1.7544424718871279,0.1407269338303821,0.074127900646055,-7530.067089339553,-1.8030769937040283,-1.7077604392698704
A,max_retracement_pct,70.0,False,4634,-1.7492587090321887,0.14285714285714285,0.07448168966712448,-8106.064857655163,-1.7952148480369794,-1.7036574768980113
A,min_push_pct,3.0,False,5412,-1.874910756257667,0.1378418329637842,0.07035009921816329,-10147.017012866494,-1.9222706337245477,-1.8264887494383846
A,min_push_pct,4.0,False,4483,-1.8076046868105153,0.13896944010707116,0.07358635238514451,-8103.84940650148,-1.856925854969865,-1.7578506133093503
A,min_push_pct,5.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,min_push_pct,6.5,False,2564,-1.6716602584793856,0.14742589703588144,0.07944210019943615,-4286.136902741145,-1.7299205212609163,-1.6153729758497581
A,min_push_pct,8.0,False,1849,-1.6547942757345642,0.14656571119524067,0.07747410709115085,-3061.214713149251,-1.7195144303363659,-1.5885538933036123
A,min_room_r,0.0,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,min_room_r,0.5,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,min_room_r,1.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,min_room_r,1.5,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,min_room_r,2.0,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,reward_multiple,1.5,False,3643,-1.7417296428823725,0.16689541586604448,0.06946387265182778,-6345.121089020483,-1.789521090865918,-1.6932775209628017
A,reward_multiple,2.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,reward_multiple,2.5,False,3617,-1.7406632587466002,0.12330660768592756,0.0802709400251728,-6295.979006886453,-1.789764945271032,-1.6910922982145442
A,reward_multiple,3.0,False,3604,-1.7397504759473779,0.11098779134295228,0.08261891170250886,-6270.06071531435,-1.7895300847063826,-1.6884869149677113
A,reward_multiple,4.0,False,3586,-1.7492084808674646,0.09063022866703849,0.08083664072633828,-6272.661612390728,-1.7998827196632066,-1.6972273048330895
A,min_efficiency,0.4,False,3703,-1.7408177749633171,0.1431271941668917,0.07475559226051716,-6446.248220689164,-1.7893884504253865,-1.692962794317749
A,min_efficiency,0.5,False,3679,-1.7424528879854948,0.14270182114705082,0.07485175459285068,-6410.4841748986355,-1.7915218301270928,-1.6914869656888858
A,min_efficiency,0.6,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,min_efficiency,0.7,False,3511,-1.7438083991157578,0.14183993164340644,0.07544612760206218,-6122.511289295426,-1.7948420589069987,-1.6926488825343544
A,min_efficiency,0.8,False,3368,-1.7368973589975087,0.1428147268408551,0.07635139387488978,-5849.870305103609,-1.7869917824381178,-1.6858480962554634
A,max_pullback_bars,2.0,False,3312,-1.7257033418785102,0.14492753623188406,0.07738311566421717,-5715.5294683016255,-1.7762828990361321,-1.6743932494539386
A,max_pullback_bars,3.0,False,3536,-1.7348509461599342,0.14423076923076922,0.07662768544366573,-6134.432945621527,-1.7848441751603412,-1.6842420122875215
A,max_pullback_bars,4.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_pullback_bars,5.0,False,3675,-1.7401796070591247,0.14231292517006802,0.07456917823264005,-6395.160055942283,-1.7896048748995435,-1.6902040075060367
A,max_pullback_bars,6.0,False,3706,-1.736146210949771,0.14382083108472746,0.07556781522560416,-6434.157857779851,-1.785593871223232,-1.6860916874118979
A,fallback_atr_mult,0.5,False,4191,-2.6038663345513053,0.10212359818659031,0.04382234808732406,-10912.803808104522,-2.6680862743535916,-2.5392394402496175
A,fallback_atr_mult,1.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,fallback_atr_mult,1.5,False,3627,-1.4665159212387222,0.1838985387372484,0.10776024735257678,-5319.053246332845,-1.514505589432559,-1.4151945089433253
A,fallback_atr_mult,2.0,False,3184,-1.4795461019093068,0.17964824120603015,0.1021238635317877,-4710.874788479233,-1.5306159149482903,-1.428509062859507
A,fallback_atr_mult,3.0,False,3184,-1.4795461019093068,0.17964824120603015,0.1021238635317877,-4710.874788479233,-1.5306159149482903,-1.428509062859507
F,max_stop_pct,1.5,False,536,-1.9382852955517957,0.13805970149253732,0.06454491120160213,-1038.9209184157626,-2.073696393391043,-1.8107762445503286
F,max_stop_pct,2.0,False,969,-1.770584386579915,0.14138286893704852,0.06473486897226839,-1715.6962705959374,-1.8668475587115685,-1.6804684455934806
F,max_stop_pct,3.0,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,max_stop_pct,4.5,False,1828,-1.5444356733902396,0.15973741794310722,0.08572074040587602,-2823.228410957358,-1.609928411660461,-1.4799123639721556
F,max_stop_pct,6.0,False,1881,-1.5071680991158933,0.1695906432748538,0.09778357485822815,-2834.9831944369953,-1.5703470623125262,-1.4435039594642651
F,max_stop_pct,9.0,False,1899,-1.4974899334037841,0.1721958925750395,0.10026936648805798,-2843.733383533786,-1.5604256859412735,-1.4315408195264883
F,max_pb_volume_ratio,0.5,False,1311,-1.6843906135381292,0.15026697177726925,0.07255887961378922,-2208.2360943484873,-1.7617589097974018,-1.6074657016284757
F,max_pb_volume_ratio,0.6,False,1428,-1.653889451991727,0.14635854341736695,0.07379905166310598,-2361.754137444186,-1.7291392048144936,-1.5776299949269665
F,max_pb_volume_ratio,0.7,True,1542,-1.6257824616133694,0.1549935149156939,0.07895812595699662,-2506.9565558078157,-1.6972275812299369,-1.5534056280642434
F,max_pb_volume_ratio,0.8,False,1726,-1.6323991216428262,0.15179606025492468,0.07946949194546997,-2817.520883955518,-1.6972313103608627,-1.563242497010992
F,max_pb_volume_ratio,0.9,False,1843,-1.587769140490356,0.16494845360824742,0.09140686424449079,-2926.258525923726,-1.656558572260986,-1.5187149273439053
