trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,bucket,variant,cut
20,0.25,0.75,0.0,-1.567172815434094,-1.7069556410858349,0.6877939203456879,0.7051442402718331,-2.3188283940273546,-2.0240611502470336,0.29661268687120196,0.14861312344113323,58.64235939038162,394.5974489501279,-335.9550895597463,-1.567172815434094,-31.48161892550239,-22785.916805846813,5.0,-8.952744146685964,-11.337472797786013,-20.005983510895867,2.289994284689704,2.1180245916400873,1.2536400892419837,-1.8876711746606827,0.3870978029000606,-1.7344362660261576,0.45,0.4,0.25,0.55,0.3,0.0,0.0,11.0,1,B,pullback_number
4,0.25,0.75,0.0,-1.0481612023065083,-1.6344274732009625,1.2118494106346531,1.2118494106346531,-1.8014980732868955,-1.7444551110708748,0.6726898177712686,0.263650774327764,27.086492909729238,102.73625396622576,-75.64976105649652,-1.0481612023065083,-4.192644809226033,,2.0,-2.1356392734587617,-3.6600391087898116,-3.6600391087898116,1.5277308847668114,0.9355451451268408,0.7750578951676592,-1.7392621124134524,0.5016557675978688,-1.7522005352155587,0.5,0.25,0.25,0.5,0.5,0.0,0.0,4.0,2,B,pullback_number
2,0.5,0.5,0.0,0.21047330312616142,0.21047330312616142,0.9248326482874456,0.9248326482874456,-0.5038860420351228,-0.5038860420351228,1.835400410283604,3.252690986237099,16.97993694804021,5.22027361956187,11.75966332847834,0.21047330312616142,-0.5038860420351228,-119.70307743331338,1.0,-0.5038860420351228,-0.5038860420351228,0.42094660625232283,1.0102566743350512,0.35630123726828505,1.7184623802270453,-1.0546424399143652,1.7184623802270453,-1.0546424399143652,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,3+,B,pullback_number
18,0.2222222222222222,0.7777777777777778,0.0,-1.6224777787019182,-1.7206568913237401,0.8252017462269823,0.7807560322809481,-2.3218147858244613,-2.0798502118528974,0.3554123917485341,0.14616086700754788,56.08010117614845,383.687524056986,-327.60742288083753,-1.6224777787019182,-29.20460001663453,,5.0,-8.952744146685964,-13.473112071244774,-15.731487945389757,2.374877948079109,2.190231898838936,1.3318406707434214,-1.8863137021561671,0.4649830760321412,-1.666242522232631,0.5,0.3888888888888889,0.2777777777777778,0.5,0.3333333333333333,0.0,0.0,11.0,5-8,B,push_pct
6,0.3333333333333333,0.6666666666666666,0.0,-0.9330006783874437,-1.1104693263150933,0.531497632553978,0.531497632553978,-1.6652498338581545,-1.783784226244844,0.3191699057687765,0.23334238094224283,19.54219516227338,83.74901757392493,-64.20682241165156,-0.9330006783874437,-5.736166687145173,-4151.750176096576,3.0,-2.5895448409078075,-4.810483493537994,-5.598004070324662,1.3404316406203516,1.089725055596936,0.844316034768843,-1.5689104674437486,0.5714092051374278,-1.6422837988381596,0.5,0.5,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,6.0,8-15,B,push_pct
2,0.5,0.5,0.0,-0.1562752123481984,-0.1562752123481984,1.2118494106346531,1.2118494106346531,-1.52439983533105,-1.52439983533105,0.794968211454496,0.771311827956692,27.086492909729238,35.1174349050046,-8.030941995275363,-0.1562752123481984,-1.52439983533105,-125.79119335732582,1.0,-1.52439983533105,-1.52439983533105,-1.52439983533105,1.934820396838926,1.0779134608022418,1.285464921984881,-1.7263236896113463,1.285464921984881,-1.7263236896113463,0.5,0.5,0.5,0.5,0.5,0.0,0.0,2.0,>15,B,push_pct
2,0.0,1.0,0.0,-2.163775039757504,-2.163775039757504,,,-2.163775039757504,-2.163775039757504,,0.0,0.0,57.30086196621717,-57.30086196621717,-2.163775039757504,-4.327550079515008,,2.0,-2.191910806056247,-2.191910806056247,-2.191910806056247,0.03978998228744179,0.03978998228744179,0.4725275571036382,-1.724768459445136,0.4725275571036382,-1.724768459445136,0.5,0.0,0.0,0.5,0.5,0.0,0.0,2.0,<2,B,rvol
3,0.0,1.0,0.0,-1.575136578143488,-1.717052610595064,,,-1.575136578143488,-1.717052610595064,,0.0,0.0,53.37236718432485,-53.37236718432485,-1.575136578143488,-4.725409734430464,,3.0,-2.3847286511000485,-2.3847286511000485,-2.3847286511000485,0.8890858112461024,0.8890858112461024,0.5276456080666041,-1.6391230287321799,0.0,-1.7500982491578578,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,3.0,2-5,B,rvol
10,0.6,0.4,0.0,-0.23312893395497455,0.32006886870293727,0.8117512367297842,0.8906002362887544,-1.8004491899821125,-1.7974854764827493,0.450860397086712,0.7178580335194642,93.1203937681532,129.7197905714157,-36.59939680326248,-0.23312893395497455,-4.918621166765577,-190.10399497378705,2.0,-1.7444551110708748,-1.7444551110708748,-2.331289339549745,1.3969936496023034,0.9464516284801366,1.5566024198961137,-1.25471795488514,1.8629457468169335,-1.0859627593686747,0.7,0.6,0.5,0.3,0.2,0.0,0.0,5.0,>5,B,rvol
24,0.2916666666666667,0.7083333333333334,0.0,-1.3061099270974035,-1.4780317120176492,0.7965216658072196,0.8563678242900633,-2.171899406528719,-1.850515841894624,0.3667396673220129,0.24010776200384157,102.70878924815108,427.7612201745806,-325.05243092642957,-1.3061099270974035,-31.484800867158192,-22788.219846806103,6.0,-10.477143982017013,-14.997511906575824,-16.349126343761856,2.2183188102728995,1.9996185315059307,1.2783329989125052,-1.7909436150826838,0.7095324563510694,-1.5330840279593527,0.5,0.4583333333333333,0.2916666666666667,0.5,0.3333333333333333,0.0,0.0,13.0,0,B,confluence
