trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,window,variant
51,0.23529411764705882,0.7647058823529411,0.0,-1.2897771826603728,-1.7677211572444684,0.6704107118443909,0.8965739870780596,-1.8929119194310693,-1.8435039358750471,0.3541689948499498,0.15477021453590697,157.3000079120361,1016.3454795466619,-859.0454716346258,-1.2897771826603728,-65.77863631567901,,12.0,-5.222529721303185,-5.222529721303185,-10.663207039680577,1.252489049206428,0.9881876281978268,0.8759756313192398,-1.8786285328232497,0.470574536656255,-1.666679397676442,0.47058823529411764,0.35294117647058826,0.19607843137254902,0.5294117647058824,0.4117647058823529,0.0,0.0196078431372549,44.0,09:30-10:00,D_noconf
14,0.21428571428571427,0.7857142857142857,0.0,-1.3926777065197478,-1.1205403290487097,0.1491573819361854,0.1033547324783166,-1.8131781851895474,-2.300119314814768,0.08226294754400693,0.0315500188202686,6.390295550478516,202.54490454925542,-196.15460899877687,-1.3926777065197478,-19.502822402186702,,6.0,-3.57079964756816,-3.57079964756816,-5.8709189623829285,1.4139048637892404,1.3766430084185968,0.9771684257729458,-1.7048107519815745,1.1925600362336644,-1.7460121201604537,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,14.0,10:00-10:30,D_noconf
33,0.12121212121212122,0.8484848484848485,0.030303030303030304,-1.8386710464145768,-2.250305827675932,0.6476882678426511,0.7816700368691818,-2.2585270372080415,-2.3407196326715383,0.28677463549133064,0.06288650503055922,46.38532470865975,737.6037941068463,-691.2184693981865,-1.8386710464145768,-60.67614453168103,,12.0,-5.598978186979547,-5.681058536721874,-7.702038017686341,1.3421631829149092,1.1960082407818902,1.0257411833269432,-1.9900738003124179,0.0644489580535493,-1.9794350562152945,0.36363636363636365,0.30303030303030304,0.15151515151515152,0.6363636363636364,0.3333333333333333,0.0,0.030303030303030304,32.0,10:30-11:30,D_noconf
114,0.14035087719298245,0.8245614035087719,0.03508771929824561,-1.6500261122223465,-2.0019362132699885,0.679803026193307,0.7220473743575634,-2.1163907829661577,-2.1850039624716002,0.3212086499642337,0.06880510364231844,179.8821981690801,2614.372897455298,-2434.490699286218,-1.6500261122223465,-188.1029767933475,,16.0,-7.072481179071959,-14.492507108117582,-30.907509138492106,1.2761244734890602,1.1064976261884858,0.866455942948582,-1.9444466880750626,0.24998370553212707,-1.8416068306301505,0.41228070175438597,0.2982456140350877,0.15789473684210525,0.5877192982456141,0.2982456140350877,0.0,0.0,90.0,11:30-16:00,D_noconf
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,D_noconf
38,0.21052631578947367,0.7631578947368421,0.02631578947368421,-1.3106928538182825,-1.775523972851897,0.8009319321836182,0.9709996509418581,-1.9370860331510749,-1.9169845263470344,0.4134725657387221,0.14593995086045092,110.10118809442133,754.4280195057834,-644.326831411362,-1.3106928538182825,-49.806328445094735,,11.0,-5.222529721303185,-5.222529721303185,-6.91771872984946,1.2973234412446872,1.016010171391214,0.8262708353655148,-1.8842801526830406,0.3566586168788779,-1.6382687001314151,0.4473684210526316,0.34210526315789475,0.21052631578947367,0.5526315789473685,0.42105263157894735,0.0,0.05263157894736842,33.0,09:30-10:00,E_noconf
13,0.15384615384615385,0.8461538461538461,0.0,-1.505123995443205,-1.5951092227491228,0.18917404816168032,0.18917404816168032,-1.8131781851895474,-2.300119314814768,0.10433285029948906,0.023720597562826046,4.804486169213902,202.54490454925542,-197.7404183800415,-1.505123995443205,-19.566611940761664,,6.0,-3.57079964756816,-3.57079964756816,-5.8709189623829285,1.4049736644490776,1.367819904582474,0.9358708932045083,-1.7714641656672194,1.0137242668373725,-1.969601904078622,0.5384615384615384,0.5384615384615384,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.0,0.0,13.0,10:00-10:30,E_noconf
28,0.10714285714285714,0.8214285714285714,0.07142857142857142,-1.9194618187276178,-2.224697094948299,0.5461262949408209,0.7279173222537648,-2.4072949038275238,-2.384481357230907,0.22686306279820437,0.04155846153006105,26.81644245222711,645.2703364110245,-618.4538939587974,-1.9194618187276178,-53.7449309243733,,17.0,-5.598978186979547,-5.598978186979547,-7.598912336950084,1.3011296445098983,1.186971992327068,1.028992329531443,-2.048406341777695,0.115548216436199,-2.0345049239408945,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.6428571428571429,0.2857142857142857,0.0,0.03571428571428571,27.0,10:30-11:30,E_noconf
104,0.15384615384615385,0.8173076923076923,0.028846153846153848,-1.6439080962060133,-2.000034800971708,0.7007035781448664,0.8000938343531276,-2.142804210419237,-2.2334364024788798,0.32700308070039424,0.0775759458918522,185.2036334144144,2387.3847915770803,-2202.1811581626653,-1.6439080962060133,-170.9664420054254,,13.0,-7.072481179071959,-14.492507108117582,-30.907509138492106,1.3136452522110191,1.1258346092488403,0.8846892817386075,-1.9383329670632983,0.26081621339755723,-1.8416068306301505,0.40384615384615385,0.2980769230769231,0.17307692307692307,0.5961538461538461,0.3173076923076923,0.0,0.0,83.0,11:30-16:00,E_noconf
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,E_noconf
