trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,cost_model,ambiguity_policy
3,0.0,1.0,0.0,-1.8276550246307028,-1.7444551110708748,,,-1.8276550246307028,-1.7444551110708748,,0.0,0.0,114.1953510016244,-114.1953510016244,-1.8276550246307028,-5.4829650738921085,,3.0,-2.0240611502470336,-2.0240611502470336,-5.4829650738921085,0.17075309403369923,0.17075309403369923,0.5625730037580761,-1.8276572413086285,0.5293017367008749,-1.890690308860313,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3.0,C,realistic,pessimistic
4,0.5,0.5,0.0,-0.5938114116929355,-0.7985343157661772,0.6966353072730832,0.6966353072730832,-1.8842581306589543,-1.8842581306589543,0.36971330835094185,0.428637562119588,32.05898475092689,74.79275636133488,-42.73377161040799,-0.5938114116929355,-3.7685162613179086,-270.4798494975391,2.0,-2.0240611502470336,-2.0240611502470336,-2.375245646771742,1.5602830145060358,1.093849238778097,1.2628229747465645,-1.5359387987070505,1.0771181441844109,-1.7682759860372128,0.75,0.5,0.25,0.25,0.25,0.0,0.0,3.0,C,realistic,optimistic
2,0.0,1.0,0.0,-1.8842581306589543,-1.8842581306589543,,,-1.8842581306589543,-1.8842581306589543,,0.0,0.0,74.79275636133488,-74.79275636133488,-1.8842581306589543,-3.7685162613179086,,2.0,-2.0240611502470336,-2.0240611502470336,-3.7685162613179086,0.19771132636217334,0.19771132636217334,0.4649830760321412,-1.918555030355887,0.4649830760321412,-1.918555030355887,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.0,C,realistic,exclude
1,0.0,1.0,0.0,-2.269443207726685,-2.269443207726685,,,-2.269443207726685,-2.269443207726685,,0.0,0.0,52.157842285736265,-52.157842285736265,-2.269443207726685,-2.269443207726685,,1.0,-2.269443207726685,-2.269443207726685,-2.269443207726685,,,0.4802556616337029,-1.9233588607903551,0.4802556616337029,-1.9233588607903551,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,C,stressed,pessimistic
2,0.5,0.5,0.0,0.37773148604822265,0.37773148604822265,0.968461880291796,0.968461880291796,-0.2129989081953507,-0.2129989081953507,4.546792697188743,4.496457076402484,22.257830396472507,4.950081812919363,17.307748583553142,0.37773148604822265,-0.21299890819535072,-21.993525251729526,1.0,0.7554629720964453,0.7554629720964453,0.7554629720964453,0.8354189352452668,0.15061297237026336,1.7879157018354466,-1.4260697386837555,1.7879157018354466,-1.4260697386837555,1.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,C,stressed,optimistic
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,stressed,exclude
1,0.0,1.0,0.0,-1.0,-1.0,,,-1.0,-1.0,,0.0,0.0,21.390092239380174,-21.390092239380174,-1.0,-1.0,,1.0,-1.0,-1.0,-1.0,,,0.8547797453053534,-1.5652123002558345,0.8547797453053534,-1.5652123002558345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,gross,pessimistic
1,0.0,1.0,0.0,-1.0,-1.0,,,-1.0,-1.0,,0.0,0.0,21.390092239380174,-21.390092239380174,-1.0,-1.0,,1.0,-1.0,-1.0,-1.0,,,0.8547797453053534,-1.5652123002558345,0.8547797453053534,-1.5652123002558345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,gross,optimistic
1,0.0,1.0,0.0,-1.0,-1.0,,,-1.0,-1.0,,0.0,0.0,21.390092239380174,-21.390092239380174,-1.0,-1.0,,1.0,-1.0,-1.0,-1.0,,,0.8547797453053534,-1.5652123002558345,0.8547797453053534,-1.5652123002558345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,gross,exclude
1,0.0,1.0,0.0,-1.3754913867443097,-1.3754913867443097,,,-1.3754913867443097,-1.3754913867443097,,0.0,0.0,29.42188763693373,-29.42188763693373,-1.3754913867443097,-1.3754913867443097,,1.0,-1.3754913867443097,-1.3754913867443097,-1.3754913867443097,,,0.7137842406285009,-1.706207804932687,0.7137842406285009,-1.706207804932687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,low,pessimistic
1,0.0,1.0,0.0,-1.3754913867443097,-1.3754913867443097,,,-1.3754913867443097,-1.3754913867443097,,0.0,0.0,29.42188763693373,-29.42188763693373,-1.3754913867443097,-1.3754913867443097,,1.0,-1.3754913867443097,-1.3754913867443097,-1.3754913867443097,,,0.7137842406285009,-1.706207804932687,0.7137842406285009,-1.706207804932687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,low,optimistic
1,0.0,1.0,0.0,-1.3754913867443097,-1.3754913867443097,,,-1.3754913867443097,-1.3754913867443097,,0.0,0.0,29.42188763693373,-29.42188763693373,-1.3754913867443097,-1.3754913867443097,,1.0,-1.3754913867443097,-1.3754913867443097,-1.3754913867443097,,,0.7137842406285009,-1.706207804932687,0.7137842406285009,-1.706207804932687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D,low,exclude
