sym,day,ts,et,kind,scan_ts,gap_pct,price,rvol_at_time,cum_volume,cum_dollar_volume,dollar_per_min_20,impulse_start_bar,impulse_peak_bar,push_start_price,push_peak,push_pct,push_atr,push_efficiency,push_rvol,push_dollar_volume,push_bars,pullback_number,pullback_bars,red_pullback_bars,pullback_low,pullback_depth_pct,pullback_volume_ratio,trigger,stop,uses_atr_stop,risk_per_share,risk_pct,risk_atr,target_t1,target_t2,planned_shares,vwap,ema9,ema20,macd,macd_hist,atr,confluence_count,support_reasons,hod_at_time,room_to_hod_r,is_new_high_trigger,halt_band_width,variant,gate_impulse,gate_pullback_structure,gate_retracement,gate_risk_structural,gate_momentum,gate_confluence,gate_pb_volume,gate_hod_room,gate_halt_band,passes_variant
INLF,2026-07-28,1785255900,2026-07-28T12:25:00-04:00,pullback,1785245700,68.28353958842412,5.519700050354004,203.0434888084994,28456748.0,160372701.08609056,193622.28861238956,461,465,5.270100116729736,5.5991997718811035,6.244656607312878,2.880429082643788,0.9166648454155135,2.1693902340762903,395272.0722782612,4,1,1,1,5.493800163269043,32.02665422532354,0.48126981902275795,5.589899787902832,5.483800163269043,False,0.10609962463378864,1.8980595119683557,0.9452698249399021,5.6959994125366205,5.802099037170409,130,5.66181751717644,5.432033179029641,5.370964051295278,0.05208453112942557,0.03085595022714189,0.11224268651602645,1,half_dollar,8.180000305175781,24.411966830352974,False,0.5519700050354004,A,True,True,True,True,False,True,True,True,True,True
INLF,2026-07-28,1785261660,2026-07-28T14:01:00-04:00,pullback,1785245700,32.31707897695459,4.340000152587891,178.13576558527527,30408844.0,169642241.77829266,60094.00994057655,559,561,4.190000057220459,4.440000057220459,5.966587030689535,3.0332601065375004,1.0,2.611913057906089,138526.45032691956,2,1,1,1,4.300000190734863,55.99994659423828,0.22722652776013214,4.410000095367431,4.2900001907348635,False,0.11999990463256793,2.721086214003127,1.4341136525940061,4.529999999999999,4.649999904632567,125,5.603623786011242,4.280831257332828,4.300170383945257,-0.050646663484704035,0.029391226061467685,0.08367531012309497,0,,8.180000305175781,31.416693382814348,False,0.43400001525878906,A,True,True,False,True,False,False,True,True,True,False
INLF,2026-07-28,1785263880,2026-07-28T14:38:00-04:00,pullback,1785245700,37.804878669292854,4.519999980926514,,61338809.0,306656110.70872545,6820572.529212284,594,598,4.309999942779541,4.53000020980835,5.104414615999491,3.6891034397442066,1.0,943.8222850817857,34535518.768814564,4,2,1,0,4.480000019073486,22.727331839245384,0.0010290297944325019,4.5299999809265135,4.4700000190734865,False,0.05999996185302692,1.3245024747385368,1.030349261294776,4.58999994277954,4.649999904632567,153,5.011624571787149,4.421620243432623,4.383611398668448,0.03097054025463475,0.01931073000383003,0.05823264412072144,0,,8.180000305175781,60.833377414307975,False,0.4519999980926514,A,True,False,True,True,False,False,True,True,True,False
INLF,2026-07-28,1785263940,2026-07-28T14:39:00-04:00,pullback,1785245700,38.106710777980915,4.529900074005127,,61363277.0,306766948.3037362,6825018.3419242855,594,598,4.309999942779541,4.53000020980835,5.104414615999491,3.6891034397442066,1.0,943.8222850817857,34535518.768814564,4,2,2,0,4.480000019073486,22.727331839245384,0.0021086836328230926,4.659899959564209,4.595833952117655,True,0.064066007446554,1.3748365416099064,1.0000000000000047,4.723965967010763,4.788031974457317,151,5.011445793540316,4.4432762095471245,4.397543653462417,0.0385450025295242,0.021508153822975586,0.06406600744655369,0,,8.180000305175781,54.944899579518165,False,0.4529900074005127,A,True,False,True,True,False,False,True,True,True,False
INLF,2026-07-28,1785264000,2026-07-28T14:40:00-04:00,pullback,1785245700,39.32927474157933,4.570000171661377,,61376368.0,306826774.1759834,6826563.1305806395,594,598,4.309999942779541,4.53000020980835,5.104414615999491,3.6891034397442066,1.0,943.8222850817857,34535518.768814564,4,2,3,0,4.480000019073486,22.727331839245384,0.001974402867575189,4.580000171661377,4.515510295342335,True,0.06448987631904135,1.408075849386877,1.0000000000000044,4.644490047980418,4.708979924299459,151,5.011346660563732,4.468621001969975,4.41396808376708,0.047239019195767895,0.024161736391375428,0.06448987631904106,0,,8.180000305175781,55.822717285185185,False,0.4570000171661377,A,True,False,True,True,False,False,True,True,True,False
INLF,2026-07-28,1785264060,2026-07-28T14:41:00-04:00,pullback,1785245700,39.63414523340561,4.579999923706055,,61389245.0,306885750.835001,6825365.978622412,594,598,4.309999942779541,4.53000020980835,5.104414615999491,3.6891034397442066,1.0,943.8222850817857,34535518.768814564,4,2,4,0,4.480000019073486,22.727331839245384,0.0019002910915104196,4.6098997688293455,4.544666335571528,True,0.06523343325781727,1.4150727028579817,0.9999999999999934,4.675133202087163,4.74036663534498,150,5.011253727139343,4.490896786317191,4.429780639951744,0.05430993533162276,0.024986122021784234,0.0652334332578177,0,,8.180000305175781,54.72807972924852,False,0.4579999923706055,A,True,False,True,True,False,False,True,True,True,False
INLF,2026-07-28,1785266340,2026-07-28T15:19:00-04:00,pullback,1785245700,49.84756111965727,4.914999961853027,,61959670.0,309579054.63410234,75454.15362122058,635,639,4.750699996948242,5.090000152587891,7.142108654674223,3.9455529110916734,1.0,2.485014115207959,150866.87210798264,4,3,1,1,4.849299907684326,70.94021057838789,0.6480791426215994,4.97999979019165,4.891168169906212,True,0.088831620285438,1.783767550761672,1.000000000000004,5.068831410477088,5.157663030762526,138,5.008618258084645,4.859370720688138,4.782620886586966,0.08444029131088016,0.014064178953915207,0.08883162028543765,0,,8.180000305175781,36.023214534438715,False,0.49149999618530277,A,True,True,False,True,False,False,True,True,True,False
INLF,2026-07-28,1785268620,2026-07-28T15:57:00-04:00,pullback,1785245700,59.298778969765685,5.224999904632568,327.2835099393004,62761195.0,313621961.4943433,133235.85619618892,673,677,4.929999828338623,5.289999961853027,7.302234199787426,3.8766065050263268,0.9352317244723217,3.2285728565506657,290465.96290540695,4,4,1,0,5.159999847412109,36.111129507599586,1.0494550024131055,5.290000209808349,5.14999984741211,False,0.1400003623962398,2.64650958116525,1.476750066358631,5.430000572204589,5.570000934600829,117,5.008906597725447,5.096117505636147,5.02861920572224,0.06577269333397595,0.024918230476405075,0.09480301750820473,0,,8.180000305175781,20.642804389233874,False,0.5224999904632569,A,True,False,True,True,True,False,False,True,True,False
INLF,2026-07-28,1785268680,2026-07-28T15:58:00-04:00,pullback,1785245700,59.75609197636429,5.239999771118164,325.92473112700975,62821666.0,313938829.52050257,138626.3394306898,673,677,4.929999828338623,5.289999961853027,7.302234199787426,3.8766065050263268,0.9352317244723217,3.2285728565506657,290465.96290540695,4,4,2,0,5.159999847412109,36.111129507599586,1.0753799502809218,5.310000190734863,5.211968792811334,True,0.09803139792352944,1.846165619628022,0.9999999999999976,5.4080315886583925,5.506062986581922,134,5.009122626782752,5.124893958732551,5.048750688140899,0.07440789847754115,0.026842748495976218,0.09803139792352968,0,,8.180000305175781,29.276335696851902,False,0.5239999771118165,A,True,False,True,True,True,False,False,True,True,False
INLF,2026-07-28,1785268740,2026-07-28T15:59:00-04:00,pullback,1785245700,60.670732527279846,5.269999980926514,324.8303987517695,62872223.0,314205264.90953827,143253.51098079683,673,677,4.929999828338623,5.289999961853027,7.302234199787426,3.8766065050263268,0.9352317244723217,3.2285728565506657,290465.96290540695,4,4,3,0,5.159999847412109,36.111129507599586,1.0238366251733946,5.299999961853027,5.202542224310615,True,0.09745773754241238,1.8388252498843123,0.9999999999999977,5.3974576993954395,5.494915436937852,134,5.009319002160039,5.1539151631713445,5.069822049358576,0.08271859846387652,0.028122758785849272,0.0974577375424126,0,,8.180000305175781,29.55127438772539,False,0.5269999980926514,A,True,False,True,True,True,False,False,True,True,False
